"Region","ApiKind","DomainName","DomainStatus","EndpointType","MappingCount","SinMapping","Mappings","RegionalDomainName"
"us-west-2","REST","apigatesb.telered.com.pa","AVAILABLE","REGIONAL","0","True","","d-1708xozfm4.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","secondary.apigatesb.telered.com.pa","AVAILABLE","REGIONAL","1","False","(none) -> s7rxcnp7jj/sandbox","d-kp93i2w60c.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-achx.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> yh1cbsn8pl/sandbox","d-c18a6vcdj1.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-api-alias.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> mfkamhvkr1/sandbox","d-wohgki32x6.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-api-cuenta-nombre.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> be2l8khwxh/sandbox","d-ib1pvk76pe.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-api-interna-eclave.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> dkx1d44dj6/sandbox","d-vewvgit5qa.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-api-interna.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> on51vkhiuj/sandbox","d-vrsat0w6ik.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-api-mph.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> g83ggbdabk/sandbox","d-0j7gsq8hwe.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-api-p2m.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> w079wvartb/sandbox","d-obdrd12bre.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-api-puente.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> avy1trij71/sandbox","d-ukxl4130f6.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-img.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> t96q3mg3fl/sandbox","d-2o830wwna4.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-notificacion.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> wh8hqrtj37/sandbox","d-r4mna17yzc.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-otp.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> kcrn3bpxqf/sandbox","d-dep4wycvod.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-preg-seguridad.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> ckvh05el33/sandbox","d-vku8isfo7f.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-sv.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> d0oqttwuo2/sandbox","d-9r2tl7plqi.execute-api.us-west-2.amazonaws.com"
"us-west-2","REST","tld-validador-dummy.sand.telered.internal","AVAILABLE","REGIONAL","1","False","(none) -> 788n02djik/sandbox","d-bp2cwwfb0f.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","apigatesb.telered.com.pa",,"","0","True","","d-1708xozfm4.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","secondary.apigatesb.telered.com.pa",,"","1","False","(none) -> s7rxcnp7jj/sandbox","d-kp93i2w60c.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-achx.sand.telered.internal",,"","1","False","(none) -> yh1cbsn8pl/sandbox","d-c18a6vcdj1.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-api-alias.sand.telered.internal",,"","1","False","(none) -> mfkamhvkr1/sandbox","d-wohgki32x6.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-api-cuenta-nombre.sand.telered.internal",,"","1","False","(none) -> be2l8khwxh/sandbox","d-ib1pvk76pe.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-api-interna-eclave.sand.telered.internal",,"","1","False","(none) -> dkx1d44dj6/sandbox","d-vewvgit5qa.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-api-interna.sand.telered.internal",,"","1","False","(none) -> on51vkhiuj/sandbox","d-vrsat0w6ik.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-api-mph.sand.telered.internal",,"","1","False","(none) -> g83ggbdabk/sandbox","d-0j7gsq8hwe.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-api-p2m.sand.telered.internal",,"","1","False","(none) -> w079wvartb/sandbox","d-obdrd12bre.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-api-puente.sand.telered.internal",,"","1","False","(none) -> avy1trij71/sandbox","d-ukxl4130f6.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-img.sand.telered.internal",,"","1","False","(none) -> t96q3mg3fl/sandbox","d-2o830wwna4.execute-api.us-west-2.amazonaws.com"
"us-west-2","HTTP/v2","tld-notificacion.sand.telered.internal",,"","1","False","(none) -> wh8hqrtj37/sandbox","d-r4mna17yzc.execute-api.us-west-2.amazonaws.com"
