"AlbHost","EnApigw","SinMapping","Mappings","Nota"
"tld-achx.sand.telered.internal","True","False","(none) -> yh1cbsn8pl/sandbox","OK"
"tld-api-alias.sand.telered.internal","True","False","(none) -> mfkamhvkr1/sandbox","OK"
"tld-api-cuenta-nombre.sand.telered.internal","True","False","(none) -> be2l8khwxh/sandbox","OK"
"tld-api-interna.sand.telered.internal","True","False","(none) -> on51vkhiuj/sandbox","OK"
"tld-api-interna-eclave.sand.telered.internal","True","False","(none) -> dkx1d44dj6/sandbox","OK"
"tld-api-mph.sand.telered.internal","True","False","(none) -> g83ggbdabk/sandbox","OK"
"tld-api-p2m.sand.telered.internal","True","False","(none) -> w079wvartb/sandbox","OK"
"tld-api-puente.sand.telered.internal","True","False","(none) -> avy1trij71/sandbox","OK"
"tld-img.sand.telered.internal","True","False","(none) -> t96q3mg3fl/sandbox","OK"
"tld-notificacion.sand.telered.internal","True","False","(none) -> wh8hqrtj37/sandbox","OK"
"tld-otp.sand.telered.internal","True","False","(none) -> kcrn3bpxqf/sandbox","OK"
"tld-preg-seguridad.sand.telered.internal","True","False","(none) -> ckvh05el33/sandbox","OK"
"tld-sv.sand.telered.internal","True","False","(none) -> d0oqttwuo2/sandbox","OK"
"tld-validador-dummy.sand.telered.internal","True","False","(none) -> 788n02djik/sandbox","OK"
