"AlbHost","EnApigw","SinMapping","Mappings","Nota"
"*.sand.telered.internal.pci","False","True","","Host on ALB; domain not in get-domain-names for this region"
"4vcnach-tlrdpapa.test.telered.com.pa","True","False","(none) -> rprkg84d75/sandbox","OK"
"canal-validador-dummy.sand1.telered.com.pa","True","False","(none) -> rprkg84d75/sandbox","OK"
"canal-validador-dummy.sand3.telered.com.pa","True","False","(none) -> rprkg84d75/sandbox","OK"
"pac.sand.telered.internal","False","True","","Host on ALB; domain not in get-domain-names for this region"
"tld-achx.sand.telered.internal","True","False","(none) -> r4qazjirmh/sandbox","OK"
"tld-api-alias.sand.telered.internal","True","False","(none) -> ig6072lrq2/sandbox","OK"
"tld-api-cuenta-nombre.sand.telered.internal","True","False","(none) -> ozm2269dil/sandbox","OK"
"tld-api-interna.sand.telered.internal","True","False","(none) -> 2e6tcxnimb/sandbox","OK"
"tld-api-interna-eclave.sand.telered.internal","True","False","(none) -> b4hxgsl47k/sandbox","OK"
"tld-api-mph.sand.telered.internal","True","False","(none) -> a01g28rhs9/sandbox","OK"
"tld-api-p2m.sand.telered.internal","True","False","(none) -> i8ol3apl8a/sandbox","OK"
"tld-api-puente.sand.telered.internal","True","False","(none) -> x4989hzlcf/sandbox","OK"
"tld-api-qrpayment.sand.telered.internal","True","False","(none) -> wpxteqonlg/sandbox","OK"
"tld-api-r2p.sand.telered.internal","True","False","(none) -> z9a90yw6rk/sandbox","OK"
"tld-api-validador.sand.telered.internal","True","False","(none) -> mk6nq3dm1m/sandbox","OK"
"tld-img.sand.telered.internal","True","False","(none) -> 5ca3iqbi59/sandbox","OK"
"tld-notificacion.sand.telered.internal","True","False","(none) -> 7gpqm6i9qi/sandbox","OK"
"tld-otp.sand.telered.internal","True","False","(none) -> e0ll5jj8k6/sandbox","OK"
"tld-preg-seguridad.sand.telered.internal","True","False","(none) -> akfjrne9o9/sandbox","OK"
"tld-sv.sand.telered.internal","True","False","(none) -> k4txamsz0g/sandbox","OK"
"tld-validador-dummy.sand.telered.internal","True","False","(none) -> rprkg84d75/sandbox","OK"
"vcnach-tlrdpapa.test.telered.com.pa","True","False","(none) -> rprkg84d75/sandbox","OK"
